group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Bitcask Sizes,,128,,,421996666.0,ns,1
Bitcask Sizes,,128,,,430688125.0,ns,1
Bitcask Sizes,,128,,,426330291.0,ns,1
Bitcask Sizes,,128,,,420498875.0,ns,1
Bitcask Sizes,,128,,,423344750.0,ns,1
Bitcask Sizes,,128,,,421980541.0,ns,1
Bitcask Sizes,,128,,,424333375.0,ns,1
Bitcask Sizes,,128,,,425726583.0,ns,1
Bitcask Sizes,,128,,,424277000.0,ns,1
Bitcask Sizes,,128,,,428979083.0,ns,1
Bitcask Sizes,,128,,,420209458.0,ns,1
Bitcask Sizes,,128,,,423502291.0,ns,1
Bitcask Sizes,,128,,,422297833.0,ns,1
Bitcask Sizes,,128,,,423985208.0,ns,1
Bitcask Sizes,,128,,,427765000.0,ns,1
Bitcask Sizes,,128,,,420587583.0,ns,1
Bitcask Sizes,,128,,,422705000.0,ns,1
Bitcask Sizes,,128,,,419513041.0,ns,1
Bitcask Sizes,,128,,,423848541.0,ns,1
Bitcask Sizes,,128,,,424138041.0,ns,1
Bitcask Sizes,,128,,,421924166.0,ns,1
Bitcask Sizes,,128,,,423121375.0,ns,1
Bitcask Sizes,,128,,,425302291.0,ns,1
Bitcask Sizes,,128,,,425742125.0,ns,1
Bitcask Sizes,,128,,,422253208.0,ns,1
Bitcask Sizes,,128,,,425541250.0,ns,1
Bitcask Sizes,,128,,,426838416.0,ns,1
Bitcask Sizes,,128,,,425253291.0,ns,1
Bitcask Sizes,,128,,,427510500.0,ns,1
Bitcask Sizes,,128,,,428236916.0,ns,1
Bitcask Sizes,,128,,,427887083.0,ns,1
Bitcask Sizes,,128,,,425431833.0,ns,1
Bitcask Sizes,,128,,,425278750.0,ns,1
Bitcask Sizes,,128,,,426498375.0,ns,1
Bitcask Sizes,,128,,,427283916.0,ns,1
Bitcask Sizes,,128,,,427921375.0,ns,1
Bitcask Sizes,,128,,,425686083.0,ns,1
Bitcask Sizes,,128,,,424886208.0,ns,1
Bitcask Sizes,,128,,,425527958.0,ns,1
Bitcask Sizes,,128,,,425640791.0,ns,1
Bitcask Sizes,,128,,,426984541.0,ns,1
Bitcask Sizes,,128,,,424464916.0,ns,1
Bitcask Sizes,,128,,,464323333.0,ns,1
Bitcask Sizes,,128,,,426430625.0,ns,1
Bitcask Sizes,,128,,,427597666.0,ns,1
Bitcask Sizes,,128,,,427851833.0,ns,1
Bitcask Sizes,,128,,,425518458.0,ns,1
Bitcask Sizes,,128,,,430050333.0,ns,1
Bitcask Sizes,,128,,,423235583.0,ns,1
Bitcask Sizes,,128,,,426912833.0,ns,1
Bitcask Sizes,,128,,,427573125.0,ns,1
Bitcask Sizes,,128,,,428190666.0,ns,1
Bitcask Sizes,,128,,,429715875.0,ns,1
Bitcask Sizes,,128,,,423872916.0,ns,1
Bitcask Sizes,,128,,,426956833.0,ns,1
Bitcask Sizes,,128,,,429014750.0,ns,1
Bitcask Sizes,,128,,,426672500.0,ns,1
Bitcask Sizes,,128,,,428297125.0,ns,1
Bitcask Sizes,,128,,,426896500.0,ns,1
Bitcask Sizes,,128,,,425821166.0,ns,1
Bitcask Sizes,,128,,,425460583.0,ns,1
Bitcask Sizes,,128,,,426714750.0,ns,1
Bitcask Sizes,,128,,,427545791.0,ns,1
Bitcask Sizes,,128,,,425047250.0,ns,1
Bitcask Sizes,,128,,,427053208.0,ns,1
Bitcask Sizes,,128,,,426644041.0,ns,1
Bitcask Sizes,,128,,,425641916.0,ns,1
Bitcask Sizes,,128,,,426607458.0,ns,1
Bitcask Sizes,,128,,,426594291.0,ns,1
Bitcask Sizes,,128,,,427480416.0,ns,1
Bitcask Sizes,,128,,,426790458.0,ns,1
Bitcask Sizes,,128,,,427030208.0,ns,1
Bitcask Sizes,,128,,,430326416.0,ns,1
Bitcask Sizes,,128,,,425247583.0,ns,1
Bitcask Sizes,,128,,,428177000.0,ns,1
Bitcask Sizes,,128,,,443219416.0,ns,1
Bitcask Sizes,,128,,,512492000.0,ns,1
Bitcask Sizes,,128,,,428869916.0,ns,1
Bitcask Sizes,,128,,,425795750.0,ns,1
Bitcask Sizes,,128,,,427357708.0,ns,1
Bitcask Sizes,,128,,,426616458.0,ns,1
Bitcask Sizes,,128,,,426179375.0,ns,1
Bitcask Sizes,,128,,,471265666.0,ns,1
Bitcask Sizes,,128,,,427252458.0,ns,1
Bitcask Sizes,,128,,,423577125.0,ns,1
Bitcask Sizes,,128,,,427146166.0,ns,1
Bitcask Sizes,,128,,,427384583.0,ns,1
Bitcask Sizes,,128,,,427168791.0,ns,1
Bitcask Sizes,,128,,,424053875.0,ns,1
Bitcask Sizes,,128,,,426362416.0,ns,1
Bitcask Sizes,,128,,,426338083.0,ns,1
Bitcask Sizes,,128,,,426848875.0,ns,1
Bitcask Sizes,,128,,,410838708.0,ns,1
Bitcask Sizes,,128,,,425086833.0,ns,1
Bitcask Sizes,,128,,,425194916.0,ns,1
Bitcask Sizes,,128,,,425793583.0,ns,1
Bitcask Sizes,,128,,,427218250.0,ns,1
Bitcask Sizes,,128,,,424650875.0,ns,1
Bitcask Sizes,,128,,,426372333.0,ns,1
Bitcask Sizes,,128,,,425833375.0,ns,1
