group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Bitcask Sizes,,16384,,,6563604333.0,ns,1
Bitcask Sizes,,16384,,,6919892791.0,ns,1
Bitcask Sizes,,16384,,,6549906458.0,ns,1
Bitcask Sizes,,16384,,,6860042500.0,ns,1
Bitcask Sizes,,16384,,,6552102500.0,ns,1
Bitcask Sizes,,16384,,,6496672791.0,ns,1
Bitcask Sizes,,16384,,,6528785583.0,ns,1
Bitcask Sizes,,16384,,,6566876041.0,ns,1
Bitcask Sizes,,16384,,,6642221583.0,ns,1
Bitcask Sizes,,16384,,,6536925125.0,ns,1
Bitcask Sizes,,16384,,,6523787375.0,ns,1
Bitcask Sizes,,16384,,,6471223625.0,ns,1
Bitcask Sizes,,16384,,,6675880000.0,ns,1
Bitcask Sizes,,16384,,,6455614666.0,ns,1
Bitcask Sizes,,16384,,,6495021375.0,ns,1
Bitcask Sizes,,16384,,,6499231125.0,ns,1
Bitcask Sizes,,16384,,,6490156458.0,ns,1
Bitcask Sizes,,16384,,,6551765666.0,ns,1
Bitcask Sizes,,16384,,,6510221541.0,ns,1
Bitcask Sizes,,16384,,,6556470125.0,ns,1
Bitcask Sizes,,16384,,,6497492000.0,ns,1
Bitcask Sizes,,16384,,,6512438583.0,ns,1
Bitcask Sizes,,16384,,,6611990250.0,ns,1
Bitcask Sizes,,16384,,,6505708083.0,ns,1
Bitcask Sizes,,16384,,,6521134500.0,ns,1
Bitcask Sizes,,16384,,,6536412166.0,ns,1
Bitcask Sizes,,16384,,,6567398500.0,ns,1
Bitcask Sizes,,16384,,,6748368250.0,ns,1
Bitcask Sizes,,16384,,,6613971875.0,ns,1
Bitcask Sizes,,16384,,,6656227125.0,ns,1
Bitcask Sizes,,16384,,,6533120875.0,ns,1
Bitcask Sizes,,16384,,,6661240541.0,ns,1
Bitcask Sizes,,16384,,,6504284875.0,ns,1
Bitcask Sizes,,16384,,,6478225458.0,ns,1
Bitcask Sizes,,16384,,,6474920000.0,ns,1
Bitcask Sizes,,16384,,,6627766750.0,ns,1
Bitcask Sizes,,16384,,,6686878875.0,ns,1
Bitcask Sizes,,16384,,,6643141958.0,ns,1
Bitcask Sizes,,16384,,,6512626875.0,ns,1
Bitcask Sizes,,16384,,,6767429541.0,ns,1
Bitcask Sizes,,16384,,,6714459000.0,ns,1
Bitcask Sizes,,16384,,,6645512791.0,ns,1
Bitcask Sizes,,16384,,,6632924083.0,ns,1
Bitcask Sizes,,16384,,,6611253916.0,ns,1
Bitcask Sizes,,16384,,,6570884916.0,ns,1
Bitcask Sizes,,16384,,,6527733333.0,ns,1
Bitcask Sizes,,16384,,,6694938208.0,ns,1
Bitcask Sizes,,16384,,,6542121416.0,ns,1
Bitcask Sizes,,16384,,,6576400083.0,ns,1
Bitcask Sizes,,16384,,,6679935625.0,ns,1
Bitcask Sizes,,16384,,,6666971750.0,ns,1
Bitcask Sizes,,16384,,,6580267000.0,ns,1
Bitcask Sizes,,16384,,,6671047125.0,ns,1
Bitcask Sizes,,16384,,,6816744166.0,ns,1
Bitcask Sizes,,16384,,,6820997666.0,ns,1
Bitcask Sizes,,16384,,,6653473541.0,ns,1
Bitcask Sizes,,16384,,,6686369666.0,ns,1
Bitcask Sizes,,16384,,,6540937583.0,ns,1
Bitcask Sizes,,16384,,,6783971000.0,ns,1
Bitcask Sizes,,16384,,,6670399875.0,ns,1
Bitcask Sizes,,16384,,,6464712375.0,ns,1
Bitcask Sizes,,16384,,,6697879541.0,ns,1
Bitcask Sizes,,16384,,,6555771458.0,ns,1
Bitcask Sizes,,16384,,,6513410833.0,ns,1
Bitcask Sizes,,16384,,,6622092416.0,ns,1
Bitcask Sizes,,16384,,,6613316875.0,ns,1
Bitcask Sizes,,16384,,,6655681041.0,ns,1
Bitcask Sizes,,16384,,,6810268875.0,ns,1
Bitcask Sizes,,16384,,,6591236208.0,ns,1
Bitcask Sizes,,16384,,,6684992333.0,ns,1
Bitcask Sizes,,16384,,,6547572333.0,ns,1
Bitcask Sizes,,16384,,,6520615750.0,ns,1
Bitcask Sizes,,16384,,,6485563750.0,ns,1
Bitcask Sizes,,16384,,,6594662083.0,ns,1
Bitcask Sizes,,16384,,,6652037208.0,ns,1
Bitcask Sizes,,16384,,,6600319125.0,ns,1
Bitcask Sizes,,16384,,,6696448958.0,ns,1
Bitcask Sizes,,16384,,,6489865791.0,ns,1
Bitcask Sizes,,16384,,,6480190166.0,ns,1
Bitcask Sizes,,16384,,,6479817958.0,ns,1
Bitcask Sizes,,16384,,,6541301750.0,ns,1
Bitcask Sizes,,16384,,,6524371166.0,ns,1
Bitcask Sizes,,16384,,,6438391708.0,ns,1
Bitcask Sizes,,16384,,,6478043041.0,ns,1
Bitcask Sizes,,16384,,,6463306833.0,ns,1
Bitcask Sizes,,16384,,,6592484458.0,ns,1
Bitcask Sizes,,16384,,,6452903583.0,ns,1
Bitcask Sizes,,16384,,,6492569291.0,ns,1
Bitcask Sizes,,16384,,,6488537583.0,ns,1
Bitcask Sizes,,16384,,,6528454166.0,ns,1
Bitcask Sizes,,16384,,,6538484083.0,ns,1
Bitcask Sizes,,16384,,,6552716583.0,ns,1
Bitcask Sizes,,16384,,,6638090708.0,ns,1
Bitcask Sizes,,16384,,,6478559500.0,ns,1
Bitcask Sizes,,16384,,,6513524333.0,ns,1
Bitcask Sizes,,16384,,,6600144375.0,ns,1
Bitcask Sizes,,16384,,,6456842791.0,ns,1
Bitcask Sizes,,16384,,,6484956791.0,ns,1
Bitcask Sizes,,16384,,,6472564291.0,ns,1
Bitcask Sizes,,16384,,,6636484208.0,ns,1
