group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Bitcask Sizes,,4096,,,2119928416.0,ns,1
Bitcask Sizes,,4096,,,2118022041.0,ns,1
Bitcask Sizes,,4096,,,2120735375.0,ns,1
Bitcask Sizes,,4096,,,2125694166.0,ns,1
Bitcask Sizes,,4096,,,2223435291.0,ns,1
Bitcask Sizes,,4096,,,2156944625.0,ns,1
Bitcask Sizes,,4096,,,2108586416.0,ns,1
Bitcask Sizes,,4096,,,2125120791.0,ns,1
Bitcask Sizes,,4096,,,2125403083.0,ns,1
Bitcask Sizes,,4096,,,2206498166.0,ns,1
Bitcask Sizes,,4096,,,2125836333.0,ns,1
Bitcask Sizes,,4096,,,2283232000.0,ns,1
Bitcask Sizes,,4096,,,2139957500.0,ns,1
Bitcask Sizes,,4096,,,2116681083.0,ns,1
Bitcask Sizes,,4096,,,2126662333.0,ns,1
Bitcask Sizes,,4096,,,2133657000.0,ns,1
Bitcask Sizes,,4096,,,2126466958.0,ns,1
Bitcask Sizes,,4096,,,2136552375.0,ns,1
Bitcask Sizes,,4096,,,2130961375.0,ns,1
Bitcask Sizes,,4096,,,2143382708.0,ns,1
Bitcask Sizes,,4096,,,2126607500.0,ns,1
Bitcask Sizes,,4096,,,2148598125.0,ns,1
Bitcask Sizes,,4096,,,2245178166.0,ns,1
Bitcask Sizes,,4096,,,2240097541.0,ns,1
Bitcask Sizes,,4096,,,2118782708.0,ns,1
Bitcask Sizes,,4096,,,2161349625.0,ns,1
Bitcask Sizes,,4096,,,2184427291.0,ns,1
Bitcask Sizes,,4096,,,2128648958.0,ns,1
Bitcask Sizes,,4096,,,2135545625.0,ns,1
Bitcask Sizes,,4096,,,2154467125.0,ns,1
Bitcask Sizes,,4096,,,2201320333.0,ns,1
Bitcask Sizes,,4096,,,2150156458.0,ns,1
Bitcask Sizes,,4096,,,2147282000.0,ns,1
Bitcask Sizes,,4096,,,2210067375.0,ns,1
Bitcask Sizes,,4096,,,2224453791.0,ns,1
Bitcask Sizes,,4096,,,2220669625.0,ns,1
Bitcask Sizes,,4096,,,2170507333.0,ns,1
Bitcask Sizes,,4096,,,2169127208.0,ns,1
Bitcask Sizes,,4096,,,2152821375.0,ns,1
Bitcask Sizes,,4096,,,2253387833.0,ns,1
Bitcask Sizes,,4096,,,2171007708.0,ns,1
Bitcask Sizes,,4096,,,2127790875.0,ns,1
Bitcask Sizes,,4096,,,2121481000.0,ns,1
Bitcask Sizes,,4096,,,2163093375.0,ns,1
Bitcask Sizes,,4096,,,2209357041.0,ns,1
Bitcask Sizes,,4096,,,2124886833.0,ns,1
Bitcask Sizes,,4096,,,2125563083.0,ns,1
Bitcask Sizes,,4096,,,2152704291.0,ns,1
Bitcask Sizes,,4096,,,2174550250.0,ns,1
Bitcask Sizes,,4096,,,2184998250.0,ns,1
Bitcask Sizes,,4096,,,2246794208.0,ns,1
Bitcask Sizes,,4096,,,2199476958.0,ns,1
Bitcask Sizes,,4096,,,2320899250.0,ns,1
Bitcask Sizes,,4096,,,2130948958.0,ns,1
Bitcask Sizes,,4096,,,2146354708.0,ns,1
Bitcask Sizes,,4096,,,2151721250.0,ns,1
Bitcask Sizes,,4096,,,2144562291.0,ns,1
Bitcask Sizes,,4096,,,2144463125.0,ns,1
Bitcask Sizes,,4096,,,2136706916.0,ns,1
Bitcask Sizes,,4096,,,2117114375.0,ns,1
Bitcask Sizes,,4096,,,2183096791.0,ns,1
Bitcask Sizes,,4096,,,2153619041.0,ns,1
Bitcask Sizes,,4096,,,2296224083.0,ns,1
Bitcask Sizes,,4096,,,2231650958.0,ns,1
Bitcask Sizes,,4096,,,2123117000.0,ns,1
Bitcask Sizes,,4096,,,2189235208.0,ns,1
Bitcask Sizes,,4096,,,2306948833.0,ns,1
Bitcask Sizes,,4096,,,2136910083.0,ns,1
Bitcask Sizes,,4096,,,2147320583.0,ns,1
Bitcask Sizes,,4096,,,2122557458.0,ns,1
Bitcask Sizes,,4096,,,2140358333.0,ns,1
Bitcask Sizes,,4096,,,2180728458.0,ns,1
Bitcask Sizes,,4096,,,2470747041.0,ns,1
Bitcask Sizes,,4096,,,2394870750.0,ns,1
Bitcask Sizes,,4096,,,2217963375.0,ns,1
Bitcask Sizes,,4096,,,2166999583.0,ns,1
Bitcask Sizes,,4096,,,2173172416.0,ns,1
Bitcask Sizes,,4096,,,2206043333.0,ns,1
Bitcask Sizes,,4096,,,2145878375.0,ns,1
Bitcask Sizes,,4096,,,2159606791.0,ns,1
Bitcask Sizes,,4096,,,2162177125.0,ns,1
Bitcask Sizes,,4096,,,2175938250.0,ns,1
Bitcask Sizes,,4096,,,2165757166.0,ns,1
Bitcask Sizes,,4096,,,2136022375.0,ns,1
Bitcask Sizes,,4096,,,2116290583.0,ns,1
Bitcask Sizes,,4096,,,2141824250.0,ns,1
Bitcask Sizes,,4096,,,2184739083.0,ns,1
Bitcask Sizes,,4096,,,2143269791.0,ns,1
Bitcask Sizes,,4096,,,2174289750.0,ns,1
Bitcask Sizes,,4096,,,2153121833.0,ns,1
Bitcask Sizes,,4096,,,2163125000.0,ns,1
Bitcask Sizes,,4096,,,2177334833.0,ns,1
Bitcask Sizes,,4096,,,2158830833.0,ns,1
Bitcask Sizes,,4096,,,2272487833.0,ns,1
Bitcask Sizes,,4096,,,2322481958.0,ns,1
Bitcask Sizes,,4096,,,2167093166.0,ns,1
Bitcask Sizes,,4096,,,2123590583.0,ns,1
Bitcask Sizes,,4096,,,2140539958.0,ns,1
Bitcask Sizes,,4096,,,2125914333.0,ns,1
Bitcask Sizes,,4096,,,2140709625.0,ns,1
