group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Bitcask Sizes,,100000,,,1531520000.0,ns,1
Bitcask Sizes,,100000,,,1461951000.0,ns,1
Bitcask Sizes,,100000,,,1453376458.0,ns,1
Bitcask Sizes,,100000,,,1458773250.0,ns,1
Bitcask Sizes,,100000,,,1456521000.0,ns,1
Bitcask Sizes,,100000,,,1480554958.0,ns,1
Bitcask Sizes,,100000,,,1451554125.0,ns,1
Bitcask Sizes,,100000,,,1622264625.0,ns,1
Bitcask Sizes,,100000,,,1474456125.0,ns,1
Bitcask Sizes,,100000,,,1555842166.0,ns,1
Bitcask Sizes,,100000,,,1457771291.0,ns,1
Bitcask Sizes,,100000,,,1454219166.0,ns,1
Bitcask Sizes,,100000,,,1532326541.0,ns,1
Bitcask Sizes,,100000,,,1456464625.0,ns,1
Bitcask Sizes,,100000,,,1456413416.0,ns,1
Bitcask Sizes,,100000,,,1495215125.0,ns,1
Bitcask Sizes,,100000,,,1457328625.0,ns,1
Bitcask Sizes,,100000,,,1448485375.0,ns,1
Bitcask Sizes,,100000,,,1463557250.0,ns,1
Bitcask Sizes,,100000,,,1460363916.0,ns,1
Bitcask Sizes,,100000,,,1457149625.0,ns,1
Bitcask Sizes,,100000,,,1457015083.0,ns,1
Bitcask Sizes,,100000,,,1459436458.0,ns,1
Bitcask Sizes,,100000,,,1454169000.0,ns,1
Bitcask Sizes,,100000,,,1453740750.0,ns,1
Bitcask Sizes,,100000,,,1469432208.0,ns,1
Bitcask Sizes,,100000,,,1452704541.0,ns,1
Bitcask Sizes,,100000,,,1451026708.0,ns,1
Bitcask Sizes,,100000,,,1526922916.0,ns,1
Bitcask Sizes,,100000,,,1468110833.0,ns,1
Bitcask Sizes,,100000,,,1457112166.0,ns,1
Bitcask Sizes,,100000,,,1477699666.0,ns,1
Bitcask Sizes,,100000,,,1452310833.0,ns,1
Bitcask Sizes,,100000,,,1466161750.0,ns,1
Bitcask Sizes,,100000,,,1473820833.0,ns,1
Bitcask Sizes,,100000,,,1530538916.0,ns,1
Bitcask Sizes,,100000,,,1467702000.0,ns,1
Bitcask Sizes,,100000,,,1466391666.0,ns,1
Bitcask Sizes,,100000,,,1484520791.0,ns,1
Bitcask Sizes,,100000,,,1470186458.0,ns,1
Bitcask Sizes,,100000,,,1478781291.0,ns,1
Bitcask Sizes,,100000,,,1519949458.0,ns,1
Bitcask Sizes,,100000,,,1465665458.0,ns,1
Bitcask Sizes,,100000,,,1458362875.0,ns,1
Bitcask Sizes,,100000,,,1458825708.0,ns,1
Bitcask Sizes,,100000,,,1468463000.0,ns,1
Bitcask Sizes,,100000,,,1476562500.0,ns,1
Bitcask Sizes,,100000,,,1487492583.0,ns,1
Bitcask Sizes,,100000,,,1643935166.0,ns,1
Bitcask Sizes,,100000,,,1472327416.0,ns,1
Bitcask Sizes,,100000,,,1518999083.0,ns,1
Bitcask Sizes,,100000,,,1471059666.0,ns,1
Bitcask Sizes,,100000,,,1467691208.0,ns,1
Bitcask Sizes,,100000,,,1468572458.0,ns,1
Bitcask Sizes,,100000,,,1470456791.0,ns,1
Bitcask Sizes,,100000,,,1470153750.0,ns,1
Bitcask Sizes,,100000,,,1918651958.0,ns,1
Bitcask Sizes,,100000,,,1480813208.0,ns,1
Bitcask Sizes,,100000,,,1623045500.0,ns,1
Bitcask Sizes,,100000,,,1538368708.0,ns,1
Bitcask Sizes,,100000,,,1547106125.0,ns,1
Bitcask Sizes,,100000,,,1478745750.0,ns,1
Bitcask Sizes,,100000,,,1476321125.0,ns,1
Bitcask Sizes,,100000,,,1480368541.0,ns,1
Bitcask Sizes,,100000,,,1462720375.0,ns,1
Bitcask Sizes,,100000,,,1476206250.0,ns,1
Bitcask Sizes,,100000,,,1466413791.0,ns,1
Bitcask Sizes,,100000,,,1457183625.0,ns,1
Bitcask Sizes,,100000,,,1456578333.0,ns,1
Bitcask Sizes,,100000,,,1457269208.0,ns,1
Bitcask Sizes,,100000,,,1494553666.0,ns,1
Bitcask Sizes,,100000,,,1458677583.0,ns,1
Bitcask Sizes,,100000,,,1459306291.0,ns,1
Bitcask Sizes,,100000,,,1465225458.0,ns,1
Bitcask Sizes,,100000,,,1460468583.0,ns,1
Bitcask Sizes,,100000,,,1470674791.0,ns,1
Bitcask Sizes,,100000,,,1467438000.0,ns,1
Bitcask Sizes,,100000,,,1466809833.0,ns,1
Bitcask Sizes,,100000,,,1481323375.0,ns,1
Bitcask Sizes,,100000,,,1473928291.0,ns,1
Bitcask Sizes,,100000,,,1467382750.0,ns,1
Bitcask Sizes,,100000,,,1514769041.0,ns,1
Bitcask Sizes,,100000,,,1466712041.0,ns,1
Bitcask Sizes,,100000,,,1487183708.0,ns,1
Bitcask Sizes,,100000,,,1515301916.0,ns,1
Bitcask Sizes,,100000,,,1477508833.0,ns,1
