group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Bitcask Sizes,,8192,,,3688267500.0,ns,1
Bitcask Sizes,,8192,,,3702621041.0,ns,1
Bitcask Sizes,,8192,,,3684606041.0,ns,1
Bitcask Sizes,,8192,,,3713990333.0,ns,1
Bitcask Sizes,,8192,,,3692049666.0,ns,1
Bitcask Sizes,,8192,,,3673350666.0,ns,1
Bitcask Sizes,,8192,,,3704162958.0,ns,1
Bitcask Sizes,,8192,,,3711718458.0,ns,1
Bitcask Sizes,,8192,,,3733682833.0,ns,1
Bitcask Sizes,,8192,,,3692001875.0,ns,1
Bitcask Sizes,,8192,,,3689733041.0,ns,1
Bitcask Sizes,,8192,,,3957308291.0,ns,1
Bitcask Sizes,,8192,,,3722737916.0,ns,1
Bitcask Sizes,,8192,,,3775750708.0,ns,1
Bitcask Sizes,,8192,,,3707569916.0,ns,1
Bitcask Sizes,,8192,,,3690300250.0,ns,1
Bitcask Sizes,,8192,,,3710633333.0,ns,1
Bitcask Sizes,,8192,,,3700947333.0,ns,1
Bitcask Sizes,,8192,,,3697962333.0,ns,1
Bitcask Sizes,,8192,,,3736503541.0,ns,1
Bitcask Sizes,,8192,,,3692506458.0,ns,1
Bitcask Sizes,,8192,,,3710462166.0,ns,1
Bitcask Sizes,,8192,,,3705649875.0,ns,1
Bitcask Sizes,,8192,,,3836605458.0,ns,1
Bitcask Sizes,,8192,,,3712903208.0,ns,1
Bitcask Sizes,,8192,,,3720544833.0,ns,1
Bitcask Sizes,,8192,,,3667207125.0,ns,1
Bitcask Sizes,,8192,,,3875218416.0,ns,1
Bitcask Sizes,,8192,,,3736235666.0,ns,1
Bitcask Sizes,,8192,,,3666239166.0,ns,1
Bitcask Sizes,,8192,,,3674607166.0,ns,1
Bitcask Sizes,,8192,,,3675763041.0,ns,1
Bitcask Sizes,,8192,,,3695290000.0,ns,1
Bitcask Sizes,,8192,,,3696191083.0,ns,1
Bitcask Sizes,,8192,,,3679488166.0,ns,1
Bitcask Sizes,,8192,,,3728258666.0,ns,1
Bitcask Sizes,,8192,,,3692870250.0,ns,1
Bitcask Sizes,,8192,,,3699174458.0,ns,1
Bitcask Sizes,,8192,,,3690956958.0,ns,1
Bitcask Sizes,,8192,,,3687607458.0,ns,1
Bitcask Sizes,,8192,,,3748472333.0,ns,1
Bitcask Sizes,,8192,,,3671551250.0,ns,1
Bitcask Sizes,,8192,,,3691578375.0,ns,1
Bitcask Sizes,,8192,,,3754338333.0,ns,1
Bitcask Sizes,,8192,,,3824470625.0,ns,1
Bitcask Sizes,,8192,,,3691512458.0,ns,1
Bitcask Sizes,,8192,,,3676701625.0,ns,1
Bitcask Sizes,,8192,,,3676559125.0,ns,1
Bitcask Sizes,,8192,,,3722056291.0,ns,1
Bitcask Sizes,,8192,,,3741132333.0,ns,1
Bitcask Sizes,,8192,,,3675547166.0,ns,1
