group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Bitcask Sizes,,32768,,,12284734750.0,ns,1
Bitcask Sizes,,32768,,,12353824458.0,ns,1
Bitcask Sizes,,32768,,,12039447416.0,ns,1
Bitcask Sizes,,32768,,,12078379750.0,ns,1
Bitcask Sizes,,32768,,,12244008916.0,ns,1
Bitcask Sizes,,32768,,,12320730791.0,ns,1
Bitcask Sizes,,32768,,,12354612333.0,ns,1
Bitcask Sizes,,32768,,,12372986833.0,ns,1
Bitcask Sizes,,32768,,,12277577416.0,ns,1
Bitcask Sizes,,32768,,,12438999458.0,ns,1
Bitcask Sizes,,32768,,,12358018666.0,ns,1
Bitcask Sizes,,32768,,,12496967791.0,ns,1
Bitcask Sizes,,32768,,,12285639333.0,ns,1
Bitcask Sizes,,32768,,,12370524583.0,ns,1
Bitcask Sizes,,32768,,,12280836291.0,ns,1
Bitcask Sizes,,32768,,,12475259833.0,ns,1
Bitcask Sizes,,32768,,,12354643541.0,ns,1
Bitcask Sizes,,32768,,,12303111958.0,ns,1
Bitcask Sizes,,32768,,,12289182375.0,ns,1
Bitcask Sizes,,32768,,,12362394458.0,ns,1
Bitcask Sizes,,32768,,,12508046833.0,ns,1
Bitcask Sizes,,32768,,,12109154875.0,ns,1
Bitcask Sizes,,32768,,,12171446625.0,ns,1
Bitcask Sizes,,32768,,,12179710458.0,ns,1
Bitcask Sizes,,32768,,,12192639166.0,ns,1
Bitcask Sizes,,32768,,,12726420583.0,ns,1
Bitcask Sizes,,32768,,,13075556125.0,ns,1
Bitcask Sizes,,32768,,,12179497500.0,ns,1
Bitcask Sizes,,32768,,,12192857250.0,ns,1
Bitcask Sizes,,32768,,,12168364833.0,ns,1
Bitcask Sizes,,32768,,,12287421208.0,ns,1
Bitcask Sizes,,32768,,,12139067333.0,ns,1
Bitcask Sizes,,32768,,,12117912750.0,ns,1
Bitcask Sizes,,32768,,,12138816458.0,ns,1
Bitcask Sizes,,32768,,,12151209250.0,ns,1
Bitcask Sizes,,32768,,,12230272375.0,ns,1
Bitcask Sizes,,32768,,,12084975083.0,ns,1
Bitcask Sizes,,32768,,,12142570666.0,ns,1
Bitcask Sizes,,32768,,,12286416083.0,ns,1
Bitcask Sizes,,32768,,,12255092125.0,ns,1
Bitcask Sizes,,32768,,,12319326208.0,ns,1
Bitcask Sizes,,32768,,,12203046791.0,ns,1
Bitcask Sizes,,32768,,,12174400958.0,ns,1
Bitcask Sizes,,32768,,,12250238500.0,ns,1
Bitcask Sizes,,32768,,,12262157958.0,ns,1
Bitcask Sizes,,32768,,,12222707291.0,ns,1
Bitcask Sizes,,32768,,,12086230541.0,ns,1
Bitcask Sizes,,32768,,,12094396791.0,ns,1
Bitcask Sizes,,32768,,,12118858875.0,ns,1
Bitcask Sizes,,32768,,,12125183750.0,ns,1
Bitcask Sizes,,32768,,,12281836708.0,ns,1
Bitcask Sizes,,32768,,,12136690500.0,ns,1
Bitcask Sizes,,32768,,,12299348541.0,ns,1
Bitcask Sizes,,32768,,,12480785333.0,ns,1
Bitcask Sizes,,32768,,,12317850541.0,ns,1
Bitcask Sizes,,32768,,,12407467416.0,ns,1
Bitcask Sizes,,32768,,,12261598166.0,ns,1
Bitcask Sizes,,32768,,,12211978916.0,ns,1
Bitcask Sizes,,32768,,,12336263416.0,ns,1
Bitcask Sizes,,32768,,,12251035916.0,ns,1
Bitcask Sizes,,32768,,,12545380333.0,ns,1
Bitcask Sizes,,32768,,,12296425083.0,ns,1
Bitcask Sizes,,32768,,,12219155041.0,ns,1
Bitcask Sizes,,32768,,,12271502375.0,ns,1
Bitcask Sizes,,32768,,,12398638333.0,ns,1
Bitcask Sizes,,32768,,,12222154416.0,ns,1
Bitcask Sizes,,32768,,,12176551208.0,ns,1
Bitcask Sizes,,32768,,,12125742416.0,ns,1
Bitcask Sizes,,32768,,,12592713541.0,ns,1
